ko;pathname;genesymbol
K11946;PAH;phdG
K11946;Aromatic;phdG
K11947;PAH;nidD
K11947;Aromatic;nidD
K11948;PAH;phdI
K11949;PAH;phdJ
K13299;Cytochrome P450;GSTK1
K13767;Benzoate;fadB
K13951;Cytochrome P450;ADH1_7
K13952;Cytochrome P450;ADH6
K13953;Aromatic;adhP
K13953;Naphthalene;adhP
K13953;Cytochrome P450;adhP
K13953;Cl. alkane and Cl.alkene;adhP
K13954;Naphthalene;yiaY
K13954;Aromatic;yiaY
K13954;Cl. alkane and Cl.alkene;yiaY
K13980;Cytochrome P450;ADH4
K14028;Cl. alkane and Cl.alkene;mdh1
K14029;Cl. alkane and Cl.alkene;mdh2
K14048;Atrazine;ureAB
K14333;Aminobenzoate;DHBD
K14333;Benzoate;DHBD
K14334;Benzoate;CMLE
K14338;Aminobenzoate;cypD_E
K14417;Fluorobenzoate;fcbA
K14418;Fluorobenzoate;fcbB
K14419;Cl. alkane and Cl.alkene;caaD1
K14420;Cl. alkane and Cl.alkene;caaD2
K14421;Cl. alkane and Cl.alkene;cis-caaD
K14422;Cl. alkane and Cl.alkene;msaD
K14481;Styrene;styA
K14482;Styrene;styB
K14519;Caprolactam;aldH
K14519;Aromatic;aldH
K14520;Bisphenol;hapE
K14541;Atrazine;DUR1
K14578;Ethylbenzene;nahAb
K14578;Aminobenzoate;nahAb
K14578;Nitrotoluene;nahAb
K14578;PAH;nahAb
K14578;Aromatic;nahAb
K14578;Naphthalene;nahAb
K14579;PAH;nahAc
K14579;Aminobenzoate;nahAc
K14579;Aromatic;nahAc
K14579;Ethylbenzene;nahAc
K14579;Nitrotoluene;nahAc
K14579;Naphthalene;nahAc
K14580;Naphthalene;nahAd
K14580;Aminobenzoate;nahAd
K14580;Ethylbenzene;nahAd
K14580;PAH;nahAd
K14580;Nitrotoluene;nahAd
K14580;Aromatic;nahAd
K14581;Nitrotoluene;nahAa
K14581;Aminobenzoate;nahAa
K14581;Ethylbenzene;nahAa
K14581;Naphthalene;nahAa
K14581;PAH;nahAa
K14581;Aromatic;nahAa
